Title;Price
Крекеры рисовые с соусом Тамари;198
Круассан «Классический», 35 г (2 шт);93
Круассан «Нежная груша»;90
Круассан «Тропический фрукт»;142
Круассан классический, 60 г. Пекарня;110
Круассан классический, 80 г;105
Круассан классический, кафе;75
Круассан классический_РП;75
Круассан клубничный, веган;100
Круассан миндальный;158
Круассан миндальный с вишней;137
Круассан миндальный с лимонным курдом;142
Круассан миндальный с малиной;144
Круассан миндальный, кафе;165
Круассан миндальный. Пекарня;180
Круассан Миндальный_РП;140
Круассан на масле;96
Круассан с карамелью_РП;151
Круассан с клубникой;142
Круассан с малиной;99
Круассан с персиком;99
Круассан с сыром;144
Круассан с фисташковой начинкой, 110 г;153
Круассан с черной смородиной. Пекарня;120
Круассан с шоколадом;142
Круассан с шоколадом и кокосом, веган;100
Круассан с шоколадом. Пекарня;150
Круассан с ягодами_РП;135
Круассан со сливочно-лимонным кремом;118
Круассан сырный;110
Круассан цельнозерновой. Пекарня;105
Круассаны-мини с заварным кремом, 6 шт;221
Круассаны-мини с шоколадом, 6 шт;221
Курник. Пекарня;95
Кутабы с зеленью;162
Кутабы с курицей;174
Кутабы с сыром и помидорами;187
Кутабы с сыром, творогом и зеленью;168
Лаваш «Армянский по-деревенски», 220 г;63
Лаваш «Армянский» тандырный, 150 г;53
Лаваш «Армянский» тандырный, нарезка, 200 г;70
Лаваш «Армянский», 160 г;51
Лаваш «Грузинский», упак., 400 г_РП;72
Лаваш «Цельнозерновой с отрубями», СПб;59
Лаваш ржаной;51
Лавашики хрустящие «С черным и белым кунжутом»;100
Лаваш-ролл, упак., 180 г_РП;42
Лепешка «Гречневый ляпун»;71
Лепешка «Грузинская»;51
Лепешка «Португальская»;62
Лепешка «Португальская» с сыром и чесноком;77
Лепешка «Пшеничный ляпун»;66
Лепешка «Ржаной Ляпун»;62
Лепешка «Роти» с картофелем;81
Лепешка «Сметанная»;49
Лепешка с зеленью;200
Лепешки заварные с семенами;83
Ляпун с томатами и базиликом;66
Осетинский пирог с картофелем и сыром. Пекарня;182
Осетинский пирог с сыром. Пекарня;215
Пай «Вишневый»;200
Пай «Яблочно-сметанный»;165
Палочки хрустящие с маком;60
Палочки хрустящие с солью;55
Печенье «Кукис овсяный», кафе;100
Печенье с пармезаном, кунжутом и чесноком, 110 г;137
Пирог «Сметанник» с черникой;256
Пирог осетинский «Картофель с сыром», 250 г;192
Пирог осетинский «Сыр и шпинат», 250 г;219
Пирог осетинский с картофелем и сыром, 500 г;342
Пирог осетинский с мясом;509
Пирог осетинский с сыром, 250 г;223
Пирог с зеленью и яйцом;268
Пирог с капустой и яйцом дрожжевой, половинка;156
Пирог яблочный, 500 г;432
Пирожки постные с вишней, 90 г, (2 шт);102
Пирожки постные с капустой и зеленью, 140 г (2 шт);141
